participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
14,4,P12,D,processing,#479e6d,#FFFFFF,image187,image56,NA,left,left,TRUE,2051.7000000476837,NA,NA
14,4,P13,D,processing,#FFFFFF,#cf752a,image369,image72,NA,left,left,TRUE,1747.8999999761581,NA,NA
14,4,P13,D,processing,#FFFFFF,#2e7cb8,image340,image279,NA,right,right,TRUE,1706.5,NA,NA
14,4,P13,D,processing,#FFFFFF,#268f0f,image303,image388,NA,right,left,FALSE,1542.1999999284744,NA,NA
14,4,P13,D,processing,#FFFFFF,#99298e,image194,image229,NA,left,right,FALSE,2436,NA,NA
14,4,P14,D,processing,#FFFFFF,#0c448d,image153,image119,NA,left,left,TRUE,1630.7999999523163,NA,NA
14,4,P14,D,processing,#8a5d33,#FFFFFF,image200,image306,NA,right,right,TRUE,1677.1000000238419,NA,NA
14,4,P14,D,processing,#9b1bb1,#FFFFFF,image143,image187,NA,right,right,TRUE,1301.1000000238419,NA,NA
14,4,P14,D,processing,#FFFFFF,#2e8437,image320,image54,NA,left,left,TRUE,1995.3000000715256,NA,NA
14,4,P15,D,processing,#1465c8,#FFFFFF,image426,image181,NA,right,right,TRUE,1631.8999999761581,NA,NA
14,4,P15,D,processing,#FFFFFF,#8f740a,image252,image32,NA,right,right,TRUE,1389.1000000238419,NA,NA
14,4,P15,D,processing,#FFFFFF,#298933,image393,image191,NA,left,left,TRUE,2109.100000023842,NA,NA
14,4,P15,D,processing,#FFFFFF,#a64ea1,image405,image330,NA,right,right,TRUE,1750.5,NA,NA
14,4,P16,D,processing,#FFFFFF,#17488c,image323,image68,NA,right,left,FALSE,2292.2000000476837,NA,NA
14,4,P16,D,processing,#cd8a0e,#FFFFFF,image389,image79,NA,right,right,TRUE,1667.7999999523163,NA,NA
14,4,P16,D,processing,#1e871c,#FFFFFF,image247,image395,NA,left,left,TRUE,1810.6000000238419,NA,NA
14,4,P16,D,processing,#b431a5,#FFFFFF,image401,image91,NA,right,right,TRUE,1788.7999999523163,NA,NA
14,4,P17,D,processing,#FFFFFF,#1737d3,image388,image334,NA,left,NULL,FALSE,NA,NA,NA
14,4,P17,D,processing,#bb8e3a,#FFFFFF,image230,image238,NA,left,left,TRUE,2302.100000023842,NA,NA
14,4,P17,D,processing,#FFFFFF,#763767,image262,image130,NA,right,NULL,FALSE,NA,NA,NA
14,4,P17,D,processing,#3caf5a,#FFFFFF,image343,image182,NA,right,right,TRUE,1627.5,NA,NA
14,4,P18,D,processing,#FFFFFF,#a9db1f,image188,image214,NA,right,right,TRUE,2394.2000000476837,NA,NA
14,4,P18,D,processing,#13c9c3,#FFFFFF,image276,image55,NA,left,NULL,FALSE,NA,NA,NA
14,4,P18,D,processing,#912139,#FFFFFF,image359,image197,NA,right,right,TRUE,1546.8999999761581,NA,NA
14,4,P18,D,processing,#FFFFFF,#522a93,image263,image254,NA,right,right,TRUE,1899.1999999284744,NA,NA
14,4,P19,D,processing,#7f17d3,#FFFFFF,image78,image429,NA,left,left,TRUE,2347.2999999523163,NA,NA
14,4,P19,D,processing,#3c812c,#FFFFFF,image299,image323,NA,left,left,TRUE,1465.3999999761581,NA,NA
14,4,P19,D,processing,#FFFFFF,#8f5942,image72,image306,NA,right,right,TRUE,1516.3999999761581,NA,NA
14,4,P19,D,processing,#FFFFFF,#1089b1,image245,image64,NA,right,right,TRUE,1598.7999999523163,NA,NA
14,4,P20,D,processing,#0eaf9c,#FFFFFF,image64,image30,NA,left,left,TRUE,1586.6999999284744,NA,NA
14,4,P20,D,processing,#8dca1c,#FFFFFF,image132,image424,NA,right,right,TRUE,1645,NA,NA
14,4,P20,D,processing,#FFFFFF,#881123,image324,image8,NA,right,right,TRUE,1552.8999999761581,NA,NA
14,4,P20,D,processing,#FFFFFF,#5228c8,image413,image39,NA,left,left,TRUE,1839.3000000715256,NA,NA
14,4,P21,D,processing,#FFFFFF,#79a253,image300,image126,NA,left,left,TRUE,1752,NA,NA
14,4,P21,D,processing,#8d1b39,#FFFFFF,image61,image370,NA,right,right,TRUE,2479.7999999523163,NA,NA
14,4,P21,D,processing,#FFFFFF,#158475,image78,image250,NA,left,left,TRUE,1608.7000000476837,NA,NA
14,4,P21,D,processing,#4a317c,#FFFFFF,image120,image105,NA,left,left,TRUE,1493.1000000238419,NA,NA
14,4,P22,D,processing,#FFFFFF,#443c80,image173,image306,NA,left,left,TRUE,1771.6000000238419,NA,NA
14,4,P22,D,processing,#FFFFFF,#099a5b,image381,image130,NA,right,NULL,FALSE,NA,NA,NA
14,4,P22,D,processing,#FFFFFF,#9c920d,image142,image64,NA,right,right,TRUE,1566.5,NA,NA
14,4,P22,D,processing,#842a4e,#FFFFFF,image213,image137,NA,right,right,TRUE,1484.1999999284744,NA,NA
14,4,P23,D,processing,#FFFFFF,#91bb1b,image230,image30,NA,left,left,TRUE,1979.2000000476837,NA,NA
14,4,P23,D,processing,#FFFFFF,#872c41,image356,image424,NA,right,right,TRUE,1863.1999999284744,NA,NA
14,4,P23,D,processing,#13c388,#FFFFFF,image370,image180,NA,left,left,TRUE,2036,NA,NA
14,4,P23,D,processing,#413984,#FFFFFF,image186,image336,NA,left,left,TRUE,1650,NA,NA
14,4,P24,D,processing,#179b5e,#FFFFFF,image133,image303,NA,left,right,FALSE,2210.399999976158,NA,NA
14,4,P24,D,processing,#FFFFFF,#373fb3,image205,image333,NA,left,left,TRUE,1767.1000000238419,NA,NA
14,4,P24,D,processing,#FFFFFF,#ac1677,image99,image228,NA,right,right,TRUE,1847.8999999761581,NA,NA
14,4,P24,D,processing,#FFFFFF,#97a621,image411,image321,NA,right,right,TRUE,1313.8999999761581,NA,NA
14,4,P25,D,processing,#FFFFFF,#381b88,image119,image177,NA,right,NULL,FALSE,NA,NA,NA
14,4,P25,D,processing,#4baa9f,#FFFFFF,image392,image302,NA,left,left,TRUE,1503.9000000953674,NA,NA
14,4,P25,D,processing,#FFFFFF,#a2151a,image418,image187,NA,right,NULL,FALSE,NA,NA,NA
14,4,P25,D,processing,#FFFFFF,#a7d421,image356,image226,NA,right,right,TRUE,1317.8000000715256,NA,NA
14,4,1,D,memory-resp,#FFFFFF,#3516a7,image205,image212,NA,left,left,TRUE,2112.600000023842,image212,image205
14,4,1,D,memory-resp,#FFFFFF,#14855f,image174,image61,NA,left,left,TRUE,1792.3999999761581,image61,image174
14,4,1,D,memory-resp,#8d113c,#FFFFFF,image402,image241,NA,right,NULL,FALSE,NA,image402,image241
14,4,1,D,memory-resp,#FFFFFF,#a4c421,image60,image156,NA,left,left,TRUE,1599.6000000238419,image156,image60
14,4,1,D,retrieval,NA,NA,NA,NA,image61,NA,image61,TRUE,6568.199999928474,image61,image205
14,4,1,D,retrieval,NA,NA,NA,NA,image402,NA,image402,TRUE,3135,image402,image205
14,4,1,D,retrieval,NA,NA,NA,NA,image156,NA,image156,TRUE,2570.6999999284744,image156,image205
14,4,1,D,retrieval,NA,NA,NA,NA,image212,NA,image212,TRUE,2339.3000000715256,image212,image205
14,4,2,D,memory-resp,#357cb6,#FFFFFF,image173,image234,NA,left,left,TRUE,1530.3999999761581,image173,image173
14,4,2,D,memory-resp,#FFFFFF,#179231,image53,image194,NA,right,right,TRUE,2313.5,image194,image194
14,4,2,D,memory-resp,#a58945,#FFFFFF,image19,image232,NA,right,right,TRUE,1756.7000000476837,image19,image232
14,4,2,D,memory-resp,#FFFFFF,#8f1985,image426,image182,NA,right,right,TRUE,1424.8999999761581,image182,image182
14,4,2,D,retrieval,NA,NA,NA,NA,image194,NA,image194,TRUE,2954.7999999523163,image194,image173
14,4,2,D,retrieval,NA,NA,NA,NA,image19,NA,image19,TRUE,3371,image19,image173
14,4,2,D,retrieval,NA,NA,NA,NA,image173,NA,image173,TRUE,4164.799999952316,image173,image173
14,4,2,D,retrieval,NA,NA,NA,NA,image182,NA,image182,TRUE,3059.6999999284744,image182,image173
14,4,3,D,memory-resp,#FFFFFF,#2ab2ab,image182,image18,NA,left,left,TRUE,1378.3000000715256,image18,image182
14,4,3,D,memory-resp,#3f2395,#FFFFFF,image300,image379,NA,left,left,TRUE,1772.9000000953674,image300,image300
14,4,3,D,memory-resp,#FFFFFF,#7bce0d,image396,image64,NA,right,right,TRUE,2324,image64,image64
14,4,3,D,memory-resp,#FFFFFF,#b41d20,image382,image213,NA,left,left,TRUE,1485.2000000476837,image213,image382
14,4,3,D,retrieval,NA,NA,NA,NA,image64,NA,image64,TRUE,2556.2000000476837,image64,image182
14,4,3,D,retrieval,NA,NA,NA,NA,image18,NA,image18,TRUE,3871,image18,image182
14,4,3,D,retrieval,NA,NA,NA,NA,image300,NA,image182,FALSE,2583.600000023842,image300,image182
14,4,3,D,retrieval,NA,NA,NA,NA,image213,NA,image213,TRUE,3235.399999976158,image213,image182
14,4,4,D,memory-resp,#10c13f,#FFFFFF,image254,image331,NA,left,left,TRUE,2195,image254,image254
14,4,4,D,memory-resp,#d89222,#FFFFFF,image234,image160,NA,left,left,TRUE,1710.1000000238419,image234,image234
14,4,4,D,memory-resp,#FFFFFF,#a42379,image327,image429,NA,right,right,TRUE,1682.5,image429,image429
14,4,4,D,memory-resp,#FFFFFF,#23429f,image111,image416,NA,right,right,TRUE,1628.3999999761581,image416,image416
14,4,4,D,retrieval,NA,NA,NA,NA,image234,NA,image234,TRUE,4642.799999952316,image234,image254
14,4,4,D,retrieval,NA,NA,NA,NA,image416,NA,image416,TRUE,3835.600000023842,image416,image254
14,4,4,D,retrieval,NA,NA,NA,NA,image254,NA,image429,FALSE,3433.899999976158,image254,image254
14,4,4,D,retrieval,NA,NA,NA,NA,image429,NA,image429,TRUE,4878.599999904633,image429,image254
14,4,5,D,memory-resp,#2b86a1,#FFFFFF,image153,image142,NA,left,left,TRUE,1498.5,image153,image153
14,4,5,D,memory-resp,#88603f,#FFFFFF,image25,image370,NA,right,right,TRUE,1505.5,image25,image370
14,4,5,D,memory-resp,#9b18af,#FFFFFF,image200,image245,NA,right,right,TRUE,1826.5,image200,image245
14,4,5,D,memory-resp,#FFFFFF,#3c6f39,image368,image331,NA,left,left,TRUE,2307.8000000715256,image331,image368
14,4,5,D,retrieval,NA,NA,NA,NA,image331,NA,image368,FALSE,3362.399999976158,image331,image153
14,4,5,D,retrieval,NA,NA,NA,NA,image25,NA,image25,TRUE,6085.200000047684,image25,image153
14,4,5,D,retrieval,NA,NA,NA,NA,image153,NA,image153,TRUE,2314.3000000715256,image153,image153
14,4,5,D,retrieval,NA,NA,NA,NA,image200,NA,image200,TRUE,1282.0999999046326,image200,image153
14,4,6,D,memory-resp,#FFFFFF,#5da82e,image254,image147,NA,left,left,TRUE,2414.7999999523163,image147,image254
14,4,6,D,memory-resp,#386270,#FFFFFF,image77,image259,NA,left,NULL,FALSE,NA,image77,image77
14,4,6,D,memory-resp,#914230,#FFFFFF,image395,image253,NA,right,right,TRUE,2468,image395,image253
14,4,6,D,memory-resp,#631dbf,#FFFFFF,image139,image370,NA,right,right,TRUE,1854.6999999284744,image139,image370
14,4,6,D,retrieval,NA,NA,NA,NA,image147,NA,image254,FALSE,5978.699999928474,image147,image254
14,4,6,D,retrieval,NA,NA,NA,NA,image77,NA,image77,TRUE,2728.3000000715256,image77,image254
14,4,6,D,retrieval,NA,NA,NA,NA,image395,NA,image395,TRUE,3604,image395,image254
14,4,6,D,retrieval,NA,NA,NA,NA,image139,NA,image139,TRUE,1804.5,image139,image254
14,4,7,D,memory-resp,#5da234,#FFFFFF,image373,image266,NA,left,left,TRUE,1859,image373,image373
14,4,7,D,memory-resp,#FFFFFF,#972cb5,image60,image377,NA,left,left,TRUE,2073.5,image377,image60
14,4,7,D,memory-resp,#cf492a,#FFFFFF,image163,image5,NA,right,right,TRUE,2443.100000023842,image163,image5
14,4,7,D,memory-resp,#3f6f7d,#FFFFFF,image140,image306,NA,right,right,TRUE,1717.1999999284744,image140,image306
14,4,7,D,retrieval,NA,NA,NA,NA,image140,NA,image140,TRUE,2587.7000000476837,image140,image373
14,4,7,D,retrieval,NA,NA,NA,NA,image373,NA,image373,TRUE,3241.5,image373,image373
14,4,7,D,retrieval,NA,NA,NA,NA,image163,NA,image163,TRUE,4124.5,image163,image373
14,4,7,D,retrieval,NA,NA,NA,NA,image377,NA,image377,TRUE,2257.5,image377,image373
14,4,8,D,memory-resp,#3f9793,#FFFFFF,image355,image5,NA,left,left,TRUE,2292.5,image355,image355
14,4,8,D,memory-resp,#a0181a,#FFFFFF,image56,image266,NA,left,left,TRUE,1793.0999999046326,image56,image56
