participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,response,acc,rt
2,2,3,C,memory-resp,#FFFFFF,#30499c,image26,image320,NA,right,TRUE,1478.5999999996275
2,2,3,C,memory-resp,#FFFFFF,#407d60,image26,image117,NA,left,TRUE,1931.6000000000931
2,2,3,C,retrieval,NA,NA,NA,NA,image77,image320,FALSE,2700.4000000003725
2,2,3,C,retrieval,NA,NA,NA,NA,image273,image77,FALSE,4675.299999999814
2,2,3,C,retrieval,NA,NA,NA,NA,image117,image117,TRUE,850.2000000001863
2,2,3,C,retrieval,NA,NA,NA,NA,image320,image273,FALSE,698.6000000000931
2,2,4,C,memory-resp,#8d321c,#FFFFFF,image284,image26,NA,left,TRUE,2144.3000000002794
2,2,4,C,memory-resp,#428ca9,#FFFFFF,image66,image26,NA,left,TRUE,1021.8999999999069
2,2,4,C,memory-resp,#FFFFFF,#81388f,image26,image411,NA,left,TRUE,898.8000000002794
2,2,4,C,memory-resp,#478627,#FFFFFF,image421,image26,NA,right,TRUE,1023.5
2,2,4,C,retrieval,NA,NA,NA,NA,image411,image411,TRUE,1671.3999999999069
2,2,4,C,retrieval,NA,NA,NA,NA,image66,image66,TRUE,2349.100000000093
2,2,4,C,retrieval,NA,NA,NA,NA,image421,image421,TRUE,3195
2,2,4,C,retrieval,NA,NA,NA,NA,image284,image284,TRUE,497.8000000002794
2,2,5,C,memory-resp,#FFFFFF,#9b7946,image26,image107,NA,right,TRUE,1416.1000000000931
2,2,5,C,memory-resp,#248426,#FFFFFF,image130,image26,NA,left,TRUE,921.1000000000931
2,2,5,C,memory-resp,#ac14d7,#FFFFFF,image254,image26,NA,left,TRUE,1391.3999999999069
2,2,5,C,memory-resp,#106c93,#FFFFFF,image17,image26,NA,right,TRUE,976.8999999999069
2,2,5,C,retrieval,NA,NA,NA,NA,image17,image17,TRUE,1831.8000000002794
2,2,5,C,retrieval,NA,NA,NA,NA,image254,image254,TRUE,2345.3000000002794
2,2,5,C,retrieval,NA,NA,NA,NA,image107,image107,TRUE,1338.8000000002794
2,2,5,C,retrieval,NA,NA,NA,NA,image130,image130,TRUE,671.3000000002794
2,2,6,C,memory-resp,#FFFFFF,#0ccfc5,image26,image230,NA,right,TRUE,2251.8000000002794
2,2,6,C,memory-resp,#FFFFFF,#4b7b24,image26,image269,NA,right,TRUE,1496.9000000003725
2,2,6,C,memory-resp,#FFFFFF,#874043,image26,image369,NA,right,TRUE,933.1000000000931
2,2,6,C,memory-resp,#5b2a93,#FFFFFF,image299,image26,NA,left,TRUE,889.1000000000931
2,2,6,C,retrieval,NA,NA,NA,NA,image269,image269,TRUE,2160.7999999998137
2,2,6,C,retrieval,NA,NA,NA,NA,image369,image369,TRUE,6165.600000000093
2,2,6,C,retrieval,NA,NA,NA,NA,image299,image299,TRUE,3780.5
2,2,6,C,retrieval,NA,NA,NA,NA,image230,image230,TRUE,1065.1000000000931
2,2,7,C,memory-resp,#8c634a,#FFFFFF,image188,image26,NA,right,TRUE,1487.6000000000931
2,2,7,C,memory-resp,#FFFFFF,#0f93cc,image26,image39,NA,left,TRUE,1185.3999999999069
2,2,7,C,memory-resp,#d31dc7,#FFFFFF,image68,image26,NA,left,TRUE,771.3000000002794
2,2,7,C,memory-resp,#36723d,#FFFFFF,image280,image26,NA,left,TRUE,944.6999999997206
2,2,7,C,retrieval,NA,NA,NA,NA,image39,image39,TRUE,2552.2000000001863
2,2,7,C,retrieval,NA,NA,NA,NA,image68,image68,TRUE,2377.7999999998137
2,2,7,C,retrieval,NA,NA,NA,NA,image280,image280,TRUE,2262.100000000093
2,2,7,C,retrieval,NA,NA,NA,NA,image188,image188,TRUE,977.5
2,2,8,C,memory-resp,#FFFFFF,#882999,image26,image125,NA,left,TRUE,1259.7999999998137
2,2,8,C,memory-resp,#FFFFFF,#36c62f,image26,image330,NA,right,TRUE,983.3999999999069
2,2,8,C,memory-resp,#FFFFFF,#3279b3,image26,image173,NA,right,TRUE,864.3999999999069
2,2,8,C,memory-resp,#9f6f3c,#FFFFFF,image57,image26,NA,right,TRUE,1261.8999999999069
2,2,8,C,retrieval,NA,NA,NA,NA,image125,image125,TRUE,2685.100000000093
2,2,8,C,retrieval,NA,NA,NA,NA,image330,image330,TRUE,1473.6999999997206
2,2,8,C,retrieval,NA,NA,NA,NA,image57,image173,FALSE,3032.899999999907
2,2,8,C,retrieval,NA,NA,NA,NA,image173,image57,FALSE,785.6000000000931
2,2,9,C,memory-resp,#FFFFFF,#93c115,image26,image133,NA,right,TRUE,1449.5
2,2,9,C,memory-resp,#b1355a,#FFFFFF,image340,image26,NA,right,TRUE,1368
