participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,rightImage,correctObject,correctResp,response,acc,rt,target,distractor
13,1,13,B,memory-resp,#FFFFFF,#3d8a6a,image26,image355,NA,left,left,TRUE,1654.8000000715256,image355,image26
13,1,13,B,memory-resp,#FFFFFF,#a64e63,image26,image147,NA,left,left,TRUE,766.3000000715256,image147,image26
13,1,13,B,memory-resp,#4e3a7e,#FFFFFF,image171,image26,NA,right,right,TRUE,1204.0999999046326,image171,image26
13,1,13,B,retrieval,NA,NA,NA,NA,image355,NA,image355,TRUE,3263.2000000476837,image355,image26
13,1,13,B,retrieval,NA,NA,NA,NA,image336,NA,image336,TRUE,6182,image336,image26
13,1,13,B,retrieval,NA,NA,NA,NA,image147,NA,image147,TRUE,3996.3000000715256,image147,image26
13,1,13,B,retrieval,NA,NA,NA,NA,image171,NA,image171,TRUE,813.6000000238419,image171,image26
13,1,14,B,memory-resp,#a46537,#FFFFFF,image341,image26,NA,right,right,TRUE,1267.1000000238419,image341,image26
13,1,14,B,memory-resp,#2e7039,#FFFFFF,image78,image26,NA,right,right,TRUE,1348.2000000476837,image78,image26
13,1,14,B,memory-resp,#aa15b2,#FFFFFF,image308,image26,NA,right,right,TRUE,1432.8999999761581,image308,image26
13,1,14,B,memory-resp,#FFFFFF,#3d5d7b,image26,image73,NA,left,left,TRUE,1168.1999999284744,image73,image26
13,1,14,B,retrieval,NA,NA,NA,NA,image308,NA,image308,TRUE,1651.2999999523163,image308,image26
13,1,14,B,retrieval,NA,NA,NA,NA,image78,NA,image78,TRUE,1686.1999999284744,image78,image26
13,1,14,B,retrieval,NA,NA,NA,NA,image73,NA,image73,TRUE,2380.2000000476837,image73,image26
13,1,14,B,retrieval,NA,NA,NA,NA,image341,NA,image341,TRUE,607.8999999761581,image341,image26
13,1,15,B,memory-resp,#FFFFFF,#25c91d,image26,image369,NA,left,left,TRUE,981.1999999284744,image369,image26
13,1,15,B,memory-resp,#763d73,#FFFFFF,image315,image26,NA,right,right,TRUE,1014.7000000476837,image315,image26
