participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
2,2,7,D,retrieval,NA,NA,NA,NA,NA,NA,image128,NA,image128,TRUE,5092.5,image128,image49
2,2,7,D,retrieval,NA,NA,NA,NA,NA,NA,image195,NA,image195,TRUE,2524.5999999940395,image195,image49
2,2,7,D,retrieval,NA,NA,NA,NA,NA,NA,image286,NA,image286,TRUE,2905.7999999970198,image286,image49
2,2,7,D,retrieval,NA,NA,NA,NA,NA,NA,image360,NA,image360,TRUE,1312.9000000059605,image360,image49
2,2,8,D,memory-resp,#FFFFFF,#aa1d79,image35,999,image20,4.5,NA,left,left,TRUE,1954.7999999970198,image20,image35
2,2,8,D,memory-resp,#0d49af,#FFFFFF,image154,16.2,image24,80,NA,right,left,FALSE,2130.9000000059605,image154,image24
2,2,8,D,memory-resp,#FFFFFF,#d9841c,image226,70.2,image109,8,NA,left,left,TRUE,1064,image109,image226
2,2,8,D,memory-resp,#FFFFFF,#48b14e,image130,250,image106,30,NA,left,left,TRUE,1490.7000000029802,image106,image130
2,2,8,D,retrieval,NA,NA,NA,NA,NA,NA,image154,NA,image154,TRUE,2630.4000000059605,image154,image35
2,2,8,D,retrieval,NA,NA,NA,NA,NA,NA,image109,NA,image109,TRUE,2662.3999999910593,image109,image35
2,2,8,D,retrieval,NA,NA,NA,NA,NA,NA,image106,NA,image106,TRUE,2735.2000000029802,image106,image35
2,2,8,D,retrieval,NA,NA,NA,NA,NA,NA,image20,NA,image20,TRUE,2833.0999999940395,image20,image35
2,2,9,D,memory-resp,#727f34,#FFFFFF,image355,443.2,image343,16,NA,left,left,TRUE,1550.8999999910593,image355,image355
2,2,9,D,memory-resp,#994854,#FFFFFF,image191,35,image228,250,NA,right,right,TRUE,1420.2000000029802,image191,image228
2,2,9,D,memory-resp,#FFFFFF,#0bad74,image330,180,image331,1.7,NA,left,left,TRUE,1992.5,image331,image330
2,2,9,D,memory-resp,#FFFFFF,#6d49a7,image241,90,image416,400,NA,right,right,TRUE,1481.2000000029802,image416,image416
2,2,9,D,retrieval,NA,NA,NA,NA,NA,NA,image191,NA,image191,TRUE,2725.2999999970198,image191,image355
2,2,9,D,retrieval,NA,NA,NA,NA,NA,NA,image331,NA,image331,TRUE,1886,image331,image355
2,2,9,D,retrieval,NA,NA,NA,NA,NA,NA,image416,NA,image416,TRUE,2188.3999999910593,image416,image355
2,2,9,D,retrieval,NA,NA,NA,NA,NA,NA,image355,NA,image355,TRUE,2635.0999999940395,image355,image355
2,2,10,D,memory-resp,#d15b29,#FFFFFF,image285,240,image132,15,NA,left,left,TRUE,1382.2999999970198,image285,image285
2,2,10,D,memory-resp,#FFFFFF,#7f3394,image244,65,image213,0.7,NA,left,left,TRUE,1090.199999988079,image213,image244
2,2,10,D,memory-resp,#1576b2,#FFFFFF,image424,52.2,image116,14.5,NA,left,left,TRUE,915.5999999940395,image424,image424
2,2,10,D,memory-resp,#FFFFFF,#2fb41d,image150,17.7,image2,6.3,NA,left,left,TRUE,1009.3000000119209,image2,image150
2,2,10,D,retrieval,NA,NA,NA,NA,NA,NA,image285,NA,image285,TRUE,3153.199999988079,image285,image285
2,2,10,D,retrieval,NA,NA,NA,NA,NA,NA,image2,NA,image2,TRUE,3643.0999999940395,image2,image285
2,2,10,D,retrieval,NA,NA,NA,NA,NA,NA,image424,NA,image424,TRUE,2147.9000000059605,image424,image285
