participant,blockID,trialID,condition,screenID,leftColor,rightColor,leftImage,leftSize,rightImage,rightSize,correctObject,correctResp,response,acc,rt,target,distractor
8,1,P3,C,processing,#FFFFFF,#dd260e,image405,10,image288,34,NA,right,left,FALSE,1652.0999999940395,NA,NA
8,1,P3,C,processing,#266e8c,#FFFFFF,image404,7.5,image405,10,NA,left,left,TRUE,2388.300000011921,NA,NA
8,1,P3,C,processing,#507d26,#FFFFFF,image17,7,image405,10,NA,left,left,TRUE,1427.9000000059605,NA,NA
8,1,P4,C,processing,#8c7145,#FFFFFF,image257,170,image405,10,NA,left,left,TRUE,1854.199999988079,NA,NA
8,1,P4,C,processing,#0bc157,#FFFFFF,image53,6.4,image405,10,NA,left,left,TRUE,1655.699999988079,NA,NA
8,1,P4,C,processing,#7e2660,#FFFFFF,image305,0.2,image405,10,NA,right,NULL,FALSE,NA,NA,NA
8,1,P4,C,processing,#154ba8,#FFFFFF,image261,9.5,image405,10,NA,left,left,TRUE,1402.0999999940395,NA,NA
8,1,P5,C,processing,#b7248d,#FFFFFF,image325,12.6,image405,10,NA,right,left,FALSE,1576.7000000178814,NA,NA
8,1,P5,C,processing,#FFFFFF,#318c4e,image405,10,image250,34,NA,right,right,TRUE,1481.8999999761581,NA,NA
8,1,P5,C,processing,#2554c1,#FFFFFF,image44,10,image405,10,NA,right,right,TRUE,2062.699999988079,NA,NA
8,1,P5,C,processing,#FFFFFF,#827c35,image405,10,image236,11,NA,left,left,TRUE,1953.5999999940395,NA,NA
8,1,P6,C,processing,#b70b6f,#FFFFFF,image142,1,image405,10,NA,right,right,TRUE,1771.5999999940395,NA,NA
8,1,P6,C,processing,#FFFFFF,#9c710d,image405,10,image331,1.7,NA,left,left,TRUE,2013.2000000178814,NA,NA
8,1,P6,C,processing,#323a86,#FFFFFF,image93,1.5,image405,10,NA,right,right,TRUE,2042.8999999761581,NA,NA
8,1,P6,C,processing,#3cbe5c,#FFFFFF,image141,30,image405,10,NA,left,right,FALSE,1982.5999999940395,NA,NA
8,1,P7,C,processing,#5b2e8e,#FFFFFF,image149,29.3,image405,10,NA,left,left,TRUE,2699.5,NA,NA
8,1,P7,C,processing,#438811,#FFFFFF,image137,21,image405,10,NA,left,right,FALSE,1815.0999999940395,NA,NA
8,1,P7,C,processing,#18b8cd,#FFFFFF,image358,16.2,image405,10,NA,right,right,TRUE,2897.199999988079,NA,NA
8,1,P7,C,processing,#8c1d33,#FFFFFF,image153,40.3,image405,10,NA,left,left,TRUE,1878.2000000178814,NA,NA
8,1,P8,C,processing,#FFFFFF,#9dc427,image405,10,image59,0.8,NA,left,left,TRUE,1931.4000000059605,NA,NA
8,1,P8,C,processing,#b21f5a,#FFFFFF,image368,18.5,image405,10,NA,right,right,TRUE,1458,NA,NA
8,1,P8,C,processing,#FFFFFF,#3e795e,image405,10,image109,8,NA,right,right,TRUE,1682,NA,NA
8,1,P8,C,processing,#FFFFFF,#2c288f,image405,10,image7,3,NA,left,left,TRUE,1738.0999999940395,NA,NA
8,1,P9,C,processing,#ac2079,#FFFFFF,image2,6.3,image405,10,NA,left,left,TRUE,1378.300000011921,NA,NA
8,1,P9,C,processing,#1ea471,#FFFFFF,image248,300,image405,10,NA,left,right,FALSE,2327.800000011921,NA,NA
8,1,P9,C,processing,#FFFFFF,#76793e,image405,10,image245,10.5,NA,left,left,TRUE,1713.4000000059605,NA,NA
8,1,P9,C,processing,#2f3979,#FFFFFF,image431,14.8,image405,10,NA,right,right,TRUE,1577.300000011921,NA,NA
8,1,P10,C,processing,#4f2c6d,#FFFFFF,image172,8,image405,10,NA,left,left,TRUE,1861.699999988079,NA,NA
8,1,P10,C,processing,#9f2214,#FFFFFF,image241,90,image405,10,NA,left,left,TRUE,2053.5,NA,NA
8,1,P10,C,processing,#9ac62a,#FFFFFF,image313,10,image405,10,NA,right,left,FALSE,2630,NA,NA
8,1,P10,C,processing,#1b8188,#FFFFFF,image304,18,image405,10,NA,right,right,TRUE,2293.5999999940395,NA,NA
8,1,P11,C,processing,#b0cc0f,#FFFFFF,image117,10,image405,10,NA,right,right,TRUE,1706.199999988079,NA,NA
8,1,P11,C,processing,#FFFFFF,#4b9176,image405,10,image220,0.5,NA,left,left,TRUE,2388.300000011921,NA,NA
8,1,P11,C,processing,#813750,#FFFFFF,image26,45,image405,10,NA,left,NULL,FALSE,NA,NA,NA
8,1,P11,C,processing,#3e3984,#FFFFFF,image45,13,image405,10,NA,right,right,TRUE,2871.100000023842,NA,NA
8,1,P12,C,processing,#FFFFFF,#8c1d20,image405,10,image265,9.6,NA,right,right,TRUE,1256.699999988079,NA,NA
8,1,P12,C,processing,#FFFFFF,#2b9187,image405,10,image336,7,NA,right,right,TRUE,1275.7999999821186,NA,NA
8,1,P12,C,processing,#FFFFFF,#687e3e,image405,10,image312,20.5,NA,right,left,FALSE,2491,NA,NA
8,1,P12,C,processing,#6d1edc,#FFFFFF,image287,7,image405,10,NA,left,left,TRUE,2708.199999988079,NA,NA
8,1,P13,C,processing,#338439,#FFFFFF,image420,150,image405,10,NA,left,left,TRUE,2297,NA,NA
8,1,P13,C,processing,#FFFFFF,#67375d,image405,10,image266,1.5,NA,left,right,FALSE,2941.199999988079,NA,NA
8,1,P13,C,processing,#3458bc,#FFFFFF,image126,11,image405,10,NA,right,NULL,FALSE,NA,NA,NA
8,1,P13,C,processing,#FFFFFF,#9d6f1b,image405,10,image373,17.5,NA,left,left,TRUE,2499.300000011921,NA,NA
8,1,P14,C,processing,#FFFFFF,#577c36,image405,10,image138,2,NA,left,right,FALSE,2038.699999988079,NA,NA
8,1,P14,C,processing,#FFFFFF,#37a5b3,image405,10,image306,41.4,NA,right,left,FALSE,2253.300000011921,NA,NA
8,1,P14,C,processing,#840cd4,#FFFFFF,image66,999,image405,10,NA,left,right,FALSE,1487.300000011921,NA,NA
8,1,P14,C,processing,#6e3539,#FFFFFF,image136,33,image405,10,NA,left,right,FALSE,993.8000000119209,NA,NA
8,1,P15,C,processing,#FFFFFF,#1654e3,image405,10,image3,12,NA,left,left,TRUE,1369,NA,NA
8,1,P15,C,processing,#ae834c,#FFFFFF,image362,24.2,image405,10,NA,left,left,TRUE,2073.199999988079,NA,NA
8,1,P15,C,processing,#31723d,#FFFFFF,image86,4.5,image405,10,NA,right,left,FALSE,2805.4000000059605,NA,NA
8,1,P15,C,processing,#FFFFFF,#a145a1,image405,10,image99,16.5,NA,left,left,TRUE,1069,NA,NA
8,1,P16,C,processing,#FFFFFF,#899c44,image405,10,image212,8,NA,right,right,TRUE,2219.0999999940395,NA,NA
8,1,P16,C,processing,#FFFFFF,#37a087,image405,10,image428,9,NA,right,right,TRUE,2164,NA,NA
8,1,P16,C,processing,#713d51,#FFFFFF,image412,10.5,image405,10,NA,right,right,TRUE,1307.199999988079,NA,NA
8,1,P16,C,processing,#FFFFFF,#423989,image405,10,image104,6,NA,right,right,TRUE,1024.5999999940395,NA,NA
8,1,P17,C,processing,#27279b,#FFFFFF,image395,8.2,image405,10,NA,left,left,TRUE,1497.7999999821186,NA,NA
8,1,P17,C,processing,#FFFFFF,#a2db0f,image405,10,image285,240,NA,right,left,FALSE,2395.5,NA,NA
8,1,P17,C,processing,#FFFFFF,#792a46,image405,10,image1,7,NA,right,right,TRUE,1396.800000011921,NA,NA
8,1,P17,C,processing,#23af89,#FFFFFF,image110,8,image405,10,NA,left,left,TRUE,1141.300000011921,NA,NA
8,1,P18,C,processing,#3e258d,#FFFFFF,image274,3.9,image405,10,NA,right,left,FALSE,1228.4000000059605,NA,NA
8,1,P18,C,processing,#FFFFFF,#ad1a3c,image405,10,image256,10.2,NA,left,left,TRUE,2056.199999988079,NA,NA
8,1,P18,C,processing,#1f7a4d,#FFFFFF,image109,8,image405,10,NA,left,left,TRUE,1459,NA,NA
8,1,P18,C,processing,#99cc24,#FFFFFF,image65,450,image405,10,NA,left,right,FALSE,2672.699999988079,NA,NA
8,1,P19,C,processing,#0d1cc5,#FFFFFF,image212,8,image405,10,NA,left,left,TRUE,1276.5999999940395,NA,NA
8,1,P19,C,processing,#FFFFFF,#a72f61,image405,10,image292,6.8,NA,right,right,TRUE,961,NA,NA
8,1,P19,C,processing,#FFFFFF,#70891f,image405,10,image333,13.2,NA,left,left,TRUE,1636.5999999940395,NA,NA
8,1,P19,C,processing,#239073,#FFFFFF,image89,35,image405,10,NA,left,left,TRUE,2387.899999976158,NA,NA
8,1,P20,C,processing,#4a7e3a,#FFFFFF,image375,8,image405,10,NA,left,left,TRUE,988.8999999761581,NA,NA
8,1,P20,C,processing,#FFFFFF,#327b95,image405,10,image68,120,NA,right,left,FALSE,1214.0999999940395,NA,NA
8,1,P20,C,processing,#6e2777,#FFFFFF,image180,14,image405,10,NA,right,right,TRUE,2377.4000000059605,NA,NA
8,1,P20,C,processing,#FFFFFF,#886435,image405,10,image309,13.6,NA,left,left,TRUE,1310.9000000059605,NA,NA
8,1,P21,C,processing,#FFFFFF,#c4279f,image405,10,image146,95,NA,right,right,TRUE,1827.0999999940395,NA,NA
8,1,P21,C,processing,#FFFFFF,#2f5ab6,image405,10,image116,14.5,NA,left,NULL,FALSE,NA,NA,NA
8,1,P21,C,processing,#9d7125,#FFFFFF,image245,10.5,image405,10,NA,right,right,TRUE,1621.0999999940395,NA,NA
8,1,P21,C,processing,#3f9258,#FFFFFF,image258,7,image405,10,NA,left,left,TRUE,2115,NA,NA
8,1,P22,C,processing,#d1d818,#FFFFFF,image42,100,image405,10,NA,left,right,FALSE,1947.4000000059605,NA,NA
8,1,P22,C,processing,#FFFFFF,#8b2344,image405,10,image103,999,NA,right,left,FALSE,1564.800000011921,NA,NA
8,1,P22,C,processing,#12ce7d,#FFFFFF,image198,6.8,image405,10,NA,left,left,TRUE,1063.800000011921,NA,NA
8,1,P22,C,processing,#FFFFFF,#3537c0,image405,10,image251,10,NA,right,right,TRUE,902.3000000119209,NA,NA
8,1,P23,C,processing,#FFFFFF,#b40e0e,image405,10,image105,7.1,NA,right,right,TRUE,966.0999999940395,NA,NA
8,1,P23,C,processing,#FFFFFF,#289d9f,image405,10,image27,6,NA,right,right,TRUE,1578.5,NA,NA
8,1,P23,C,processing,#8936ab,#FFFFFF,image328,40,image405,10,NA,left,right,FALSE,2087.800000011921,NA,NA
8,1,P23,C,processing,#4a7920,#FFFFFF,image195,160,image405,10,NA,left,left,TRUE,2042,NA,NA
8,1,P24,C,processing,#FFFFFF,#b2c51b,image405,10,image319,34,NA,right,left,FALSE,1215.0999999940395,NA,NA
8,1,P24,C,processing,#24a87a,#FFFFFF,image217,8.5,image405,10,NA,left,left,TRUE,1107.300000011921,NA,NA
8,1,P24,C,processing,#FFFFFF,#7c3649,image405,10,image133,300,NA,right,left,FALSE,1681.4000000059605,NA,NA
8,1,P24,C,processing,#51438e,#FFFFFF,image320,170,image405,10,NA,left,right,FALSE,2073.9000000059605,NA,NA
8,1,P25,C,processing,#824130,#FFFFFF,image286,270,image405,10,NA,left,right,FALSE,2813.0999999940395,NA,NA
8,1,P25,C,processing,#7c3687,#FFFFFF,image296,7,image405,10,NA,left,left,TRUE,1773.7999999821186,NA,NA
8,1,P25,C,processing,#325b67,#FFFFFF,image142,1,image405,10,NA,right,NULL,FALSE,NA,NA,NA
8,1,P25,C,processing,#FFFFFF,#3f7935,image405,10,image144,60,NA,right,right,TRUE,2470.2000000178814,NA,NA
8,1,1,C,memory-resp,#FFFFFF,#c01dc9,image405,10,image125,5.1,NA,right,right,TRUE,2842,image125,image125
8,1,1,C,memory-resp,#FFFFFF,#4c9052,image405,10,image145,10,NA,right,right,TRUE,1696.4000000059605,image145,image145
8,1,1,C,memory-resp,#956a13,#FFFFFF,image156,6.5,image405,10,NA,left,left,TRUE,2285.4000000059605,image156,image156
8,1,1,C,memory-resp,#39739d,#FFFFFF,image31,150,image405,10,NA,left,left,TRUE,2341.5,image31,image31
8,1,1,C,retrieval,NA,NA,NA,NA,NA,NA,image125,NA,image156,FALSE,5489.200000017881,image125,image125
8,1,1,C,retrieval,NA,NA,NA,NA,NA,NA,image145,NA,image145,TRUE,4194.0999999940395,image145,image125
8,1,1,C,retrieval,NA,NA,NA,NA,NA,NA,image31,NA,image31,TRUE,1877.699999988079,image31,image125
8,1,1,C,retrieval,NA,NA,NA,NA,NA,NA,image156,NA,image394,FALSE,5094.200000017881,image156,image125
8,1,2,C,memory-resp,#FFFFFF,#d12f1a,image405,10,image288,34,NA,right,right,TRUE,2426.4000000059605,image288,image288
8,1,2,C,memory-resp,#42a01c,#FFFFFF,image344,4,image405,10,NA,right,right,TRUE,1631.699999988079,image344,image405
8,1,2,C,memory-resp,#2d7980,#FFFFFF,image244,65,image405,10,NA,left,left,TRUE,2568.199999988079,image244,image244
8,1,2,C,memory-resp,#FFFFFF,#861abc,image405,10,image390,36.8,NA,right,right,TRUE,2091.4000000059605,image390,image390
8,1,2,C,retrieval,NA,NA,NA,NA,NA,NA,image244,NA,image244,TRUE,1738.7999999821186,image244,image288
8,1,2,C,retrieval,NA,NA,NA,NA,NA,NA,image288,NA,image288,TRUE,1411.699999988079,image288,image288
8,1,2,C,retrieval,NA,NA,NA,NA,NA,NA,image344,NA,image344,TRUE,3861.0999999940395,image344,image288
8,1,2,C,retrieval,NA,NA,NA,NA,NA,NA,image390,NA,image390,TRUE,893.5999999940395,image390,image288
8,1,3,C,memory-resp,#FFFFFF,#890cb6,image405,10,image389,4.8,NA,left,right,FALSE,2207.4000000059605,image389,image405
8,1,3,C,memory-resp,#FFFFFF,#a74839,image405,10,image136,33,NA,right,right,TRUE,1480.5,image136,image136
8,1,3,C,memory-resp,#FFFFFF,#267382,image405,10,image4,7,NA,right,NULL,FALSE,NA,image4,image4
8,1,3,C,memory-resp,#FFFFFF,#75cd23,image405,10,image132,15,NA,left,left,TRUE,2326.5,image132,image405
8,1,3,C,retrieval,NA,NA,NA,NA,NA,NA,image136,NA,image389,FALSE,5892.199999988079,image136,image405
8,1,3,C,retrieval,NA,NA,NA,NA,NA,NA,image4,NA,image4,TRUE,2896.2000000178814,image4,image405
8,1,3,C,retrieval,NA,NA,NA,NA,NA,NA,image132,NA,image132,TRUE,4462,image132,image405
8,1,3,C,retrieval,NA,NA,NA,NA,NA,NA,image389,NA,image389,TRUE,2811.4000000059605,image389,image405
